bogstav;procent_25;procent_21;partier;listebogstav;kommune_kode;kommune;pp_change
ALT;6,0554371002132195;3,43328987396784;Alternativet;Å;563;fanø;2,6221472262453793
DF;10,580524344569287;7,973773265651437;Dansk Folkeparti;O;320;faxe;2,60675107891785
LA;3,698914008818809;1,0962360922214758;Liberal Alliance;I;630;vejle;2,602677916597333
DF;6,105342537270143;3,50591358918658;Dansk Folkeparti;O;479;svendborg;2,5994289480835633
R;6,25213529210796;3,679782442423728;Radikale;B;773;morsø;2,572352849684232
DF;3,2960040722830235;0,7573761854583773;Dansk Folkeparti;O;201;allerød;2,538627886824646
ALT;4,058741905642923;1,528358208955224;Alternativet;Å;260;halsnæs;2,530383696687699
LA;3,1386430678466075;0,6200810875268304;Liberal Alliance;I;155;dragør;2,518561980319777
EL;6,980300120901785;4,472969248336418;Enhedslisten;Ø;253;greve;2,507330872565367
SF;10,157361500323344;7,654421399846369;SF;F;210;fredensborg;2,502940100476975
LA;5,205826037430201;2,7435788925420748;Liberal Alliance;I;101;københavn;2,4622471448881265
EL;4,9976894244099475;2,539180099434017;Enhedslisten;Ø;561;esbjerg;2,4585093249759304
K;25,194991357139845;22,780832678711704;Konservative;C;270;gribskov;2,414158678428141
SF;5,200422954916851;2,801120448179272;SF;F;316;holbæk;2,399302506737579
DF;8,544911457222105;6,181832499901564;Dansk Folkeparti;O;253;greve;2,363078957320541
SF;7,860565238525102;5,497514230131854;SF;F;440;kerteminde;2,3630510083932483
SF;8,487179487179487;6,129113288118563;SF;F;492;ærø;2,358066199060924
LA;3,007710769545014;0,7467452714320806;Liberal Alliance;I;550;tønder;2,2609654981129332
EL;10,082938388625593;7,822298501551257;Enhedslisten;Ø;153;brøndby;2,260639887074335
DF;5,275665399239544;3,0211202938475665;Dansk Folkeparti;O;813;frederikshavn;2,254545105391977
LA;4,42965154503616;2,1787538750382045;Liberal Alliance;I;190;furesø;2,2508976699979555
EL;9,054466785441589;6,809799789251844;Enhedslisten;Ø;201;allerød;2,2446669961897445
R;12,498441979309485;10,257492612916842;Radikale;B;173;lyngby-taarbæk;2,240949366392643
DF;6,413658438892505;4,202738071270384;Dansk Folkeparti;O;707;norddjurs;2,210920367622121
SF;10,484309343641335;8,304329927772164;SF;F;461;odense;2,1799794158691714
SF;6,915680473372782;4,741736890363708;SF;F;190;furesø;2,1739435830090743
EL;12,782063924821626;10,614289162442676;Enhedslisten;Ø;479;svendborg;2,1677747623789507
SF;9,06935748586712;6,941081517352704;SF;F;480;nordfyns;2,1282759685144166
SF;5,339485827290705;3,211241454975104;SF;F;787;thisted;2,128244372315601
DF;5,375668028921723;3,252066635894423;Dansk Folkeparti;O;240;egedal;2,1236013930273
K;23,66737739872068;21,555845284658844;Konservative;C;563;fanø;2,1115321140618377
SF;11,291628122109158;9,194029850746269;SF;F;260;halsnæs;2,097598271362889
K;9,614928909952608;7,564855766057166;Konservative;C;153;brøndby;2,0500731438954425
SF;3,7625380111650704;1,7392527307674277;SF;F;756;ikast-brande;2,0232852803976424
ALT;4,9410842107974595;2,925876493375436;Alternativet;Å;101;københavn;2,0152077174220233
LA;4,511152505134451;2,50257544159401;Liberal Alliance;I;157;gentofte;2,0085770635404407
DF;2,9445657447840854;0,9793798304077098;Dansk Folkeparti;O;230;rudersdal;1,9651859143763755
DF;5,45380307979468;3,490886623416744;Dansk Folkeparti;O;350;lejre;1,9629164563779358
SF;7,118644067796611;5,176070466400443;SF;F;791;viborg;1,9425736013961679
SF;10,288890001502027;8,350110730823435;SF;F;707;norddjurs;1,9387792706785927
DF;3,830313368460519;1,922914157361893;Dansk Folkeparti;O;101;københavn;1,9073992110986258
SF;9,057756751429134;7,159475465313029;SF;F;320;faxe;1,898281286116105
SF;7,423975048220955;5,5259236865404135;SF;F;615;horsens;1,8980513616805412
DF;3,1106180144641686;1,2225472645504956;Dansk Folkeparti;O;190;furesø;1,888070749913673
EL;8,908677939214767;7,030228443965848;Enhedslisten;Ø;607;fredericia;1,878449495248919
SF;8,153949644435903;6,286026634863844;SF;F;330;slagelse;1,867923009572059
EL;5,7885629531971;3,928601569752722;Enhedslisten;Ø;787;thisted;1,8599613834443778
DF;5,694620030903217;3,842991564907579;Dansk Folkeparti;O;259;køge;1,8516284659956384
SF;6,874973026628113;5,051906314304872;SF;F;370;næstved;1,8230667123232411
DF;8,73836608066184;6,916471506635441;Dansk Folkeparti;O;336;stevns;1,8218945740264
R;7,860902005196189;6,039528958060739;Radikale;B;223;hørsholm;1,8213730471354497
