dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;region;største_parti;pop_up
701834;Løgumkloster;12;Klosterhallerne (Multihallen);550;51;403619;Idrætsvej 3, 6240 Løgumkloster;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Klosterhallerne (Multihallen)<br>"
705128;Rømø;51;Havneby Kro;550;51;403619;Skansen 3, Havneby, 6792 Rømø;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Havneby Kro<br>"
711072;Visby;3;Visby Forsamlingshus;550;51;403619;Parkvej 1, Visby, 6261 Bredebro;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Visby Forsamlingshus<br>"
711078;Brøns;24;Rejsby Europæiske Efterskole;550;51;403619;Kogsvej 3, Rejsby, 6780 Skærbæk;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Rejsby Europæiske Efterskole<br>"
711692;Sanderumhallen;26;Sanderumhallen;461;43;403611;Væddeløbsvej 4, Sanderum, 5250 Odense SV;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Sanderumhallen<br>"
702866;Dalumskolen;30;Dalumskolen, Gymnastiksalen;461;43;403611;Demantsvej 30, Hjallese, 5260 Odense S;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Dalumskolen, Gymnastiksalen<br>"
708800;Fangel Forsamlingshus;32;Fangel Forsamlingshus, Salen;461;43;403611;Fangel Bygade 1, Fangel, 5260 Odense S;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Fangel Forsamlingshus, Salen<br>"
705894;Rosengårdskolen;25;Rosengårdskolen, Sportshallen;461;43;403611;Stærmosegårdsvej 51, 5230 Odense M;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Rosengårdskolen, Sportshallen<br>"
711698;Tingløkkeskolen;29;Tingløkkeskolen, Gymnastiksalen;461;43;403611;Bergendals Allé 25, Dalum, 5250 Odense SV;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Tingløkkeskolen, Gymnastiksalen<br>"
711704;Højby Skole;33;Højby Skole, Idrætshallen;461;43;403611;Nørrelunden 20, Højby, 5260 Odense S;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Højby Skole, Idrætshallen<br>"
705888;Rådhuset;23;Rådhuset, Rådhushallen;461;43;403611;Flakhaven 2, 5000 Odense C;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Rådhuset, Rådhushallen<br>"
708794;Skt. Klemensskolen;31;Skt. Klemensskolen, Gymnastiksalen;461;43;403611;Dahlsvej 1, Stenløse, 5260 Odense S;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Skt. Klemensskolen, Gymnastiksalen<br>"
