kandidat,parti,region,stemmer
"Lærke Holm Sø, Aalborg",Venstre,Nordjylland,1708
"Rasmus Oxfeldt Larsen, Vordingborg",Socialdemokratiet,Østdanmark,1705
"Simon Meyer Off, Assens",SF,Syddanmark,1700
"Karin Nødgaard, Ringsted",Venstre,Østdanmark,1700
"Simon Sharif Chowdhury, Odense",Socialdemokratiet,Syddanmark,1699
"Stine Isaksen, Viborg",Alternativet,Midtjylland,1696
"Peter Møller Andersen, Aarhus",Socialdemokratiet,Midtjylland,1690
"Jess V. Laursen, Mariagerfjord",Venstre,Nordjylland,1689
"Maria Glinvad Damgaard, Haderslev",Socialdemokratiet,Syddanmark,1684
"Lasse Bjørn Møller, Holstebro",Socialdemokratiet,Midtjylland,1681
"Birgit Jakobsen, Hedensted",Kristendemokraterne,Midtjylland,1674
"Jonas Pullich, Odense",Venstre,Syddanmark,1671
"Kim Eskesen, Esbjerg",Socialdemokratiet,Syddanmark,1663
"Susanne Flydtkjær, Aalborg",Enhedslisten,Nordjylland,1657
"Claus Heje, Høje-Taastrup",Socialdemokratiet,Østdanmark,1649
"Sofie Therese Svendsen, Aalborg",Konservative,Nordjylland,1636
"Lisette Lind Larsen, Faxe",Socialdemokratiet,Østdanmark,1629
"Bergur Løkke Rasmussen, Helsingør",Moderaterne,Østdanmark,1622
"Nicolai Wang, København",Liberal Alliance,Østdanmark,1621
"Kashif Ahmad, København",Radikale,Østdanmark,1615
"Mia Nybo, Favrskov Kommune",Radikale,Midtjylland,1612
"Katrine Skov, Gladsaxe",Socialdemokratiet,Østdanmark,1610
"Halil Özsari, Odense",Socialdemokratiet,Syddanmark,1607
"Jens Tilma, Thisted",Konservative,Nordjylland,1606
"Lone Børlum, Herning",Socialdemokratiet,Midtjylland,1600
"Michael Nielsen, Kerteminde",Konservative,Syddanmark,1585
"Ali Hassan, Aalborg",Socialdemokratiet,Nordjylland,1582
"Lone Clausen, Brønderslev",Socialdemokratiet,Nordjylland,1581
"Martin Schmidt Konradsen, Odense",Enhedslisten,Syddanmark,1576
"Henrik Grøn, Lemvig",Danmarksdemokraterne,Midtjylland,1557
"Kristjar Skajaa, Malling",Enhedslisten,Midtjylland,1550
"Anne-Sofie Overgaard, Aalborg Kommune",SF,Nordjylland,1548
"Mette Aagaard, Lolland",Konservative,Østdanmark,1546
"Jasmin Bjelosevic, Vejle",Socialdemokratiet,Syddanmark,1542
"Anders Koefoed, Slagelse",Venstre,Østdanmark,1518
"Carsten Sørensen, Odense",Dansk Folkeparti,Syddanmark,1516
"Qasam Nazir Ahmad, Frederiksværk",Alternativet,Østdanmark,1514
"Marie-Louise Jørgensen, Hvidovre",SF,Østdanmark,1503
"Trine Egetved, Gribskov",Konservative,Østdanmark,1497
"Elin Søndergaard, Ringe",Socialdemokratiet,Syddanmark,1497
"Christina Thorholm, Hillerød",Radikale,Østdanmark,1483
"Susanne Dyreborg, Esbjerg",Danmarksdemokraterne,Syddanmark,1450
"Kuno F. Danielsen, Silkeborg",Danmarksdemokraterne,Midtjylland,1448
"Siff Tang Lassen, Aarhus",Konservative,Midtjylland,1440
"Melissa Gilroy, Fanø",Radikale,Syddanmark,1434
"Steen S. Hansen, Stevns",Socialdemokratiet,Østdanmark,1412
"Camilla Holt Jones, Viborg",Socialdemokratiet,Midtjylland,1392
"Vibeke Gamst, Aalborg",Konservative,Nordjylland,1388
"Charlotte Aaby, Silkeborg",Dansk Folkeparti,Midtjylland,1378
"Jakob Svendsen, Viborg",Danmarksdemokraterne,Midtjylland,1375
"Jeppe Spure Nielsen, Aarhus C",Alternativet,Midtjylland,1372
Sten Larsen,Moderaterne,Midtjylland,1370
"Per Bisgaard, Vesthimmerland",Venstre,Nordjylland,1365
"Camilla Silfverberg, Svendborg",Liberal Alliance,Syddanmark,1356
"Martin Baden, Ishøj",Socialdemokratiet,Østdanmark,1353
"Lone Olsen, Hjørring",Venstre,Nordjylland,1351
"Sofie Holm, København",Radikale,Østdanmark,1349
"Søren Vang Fischer, Kalundborg",Venstre,Østdanmark,1346
"Mette Guldberg, Herning",Konservative,Midtjylland,1345
"Maj Allin Thorup, Hørsholm",Konservative,Østdanmark,1339
"Thomas Krog, Brønderslev Kommune",SF,Nordjylland,1338
"Lærke Lysdal, Odense",Radikale,Syddanmark,1324
"Rune Bønnelykke, Vejle",Dansk Folkeparti,Syddanmark,1318
"Anne Mette Mortensen, Aalborg",Dansk Folkeparti,Nordjylland,1299
"Rasmus Gamst Beltofte, Holstebro Kommune",Radikale,Midtjylland,1296
"Bente Strager, Skanderborg",SF,Midtjylland,1289
"Kim Lund, Middelfart",Danmarksdemokraterne,Syddanmark,1284
"Sanne Friborg, Bornholm",Enhedslisten,Østdanmark,1277
"Christina Falkberg, Gladsaxe",Radikale,Østdanmark,1265
"Stina Højgaard, Greve",Socialdemokratiet,Østdanmark,1252
"Anders Krojgaard Lund, Horsens",Konservative,Midtjylland,1241
Kenneth Hammer,Liberal Alliance,Nordjylland,1240
"Trine Dybkjær, Gentofte",Radikale,Østdanmark,1240
"Kirsten Balle, Herlev",SF,Østdanmark,1236
"Henrik Terp, Vesthimmerland",Socialdemokratiet,Nordjylland,1230
"Rasmus T. Mortensen, Aarhus",SF,Midtjylland,1224
"Christina Dilling-Munk, Ringsted",SF,Østdanmark,1218
"Villum Christensen, Slagelse",Liberal Alliance,Østdanmark,1215
"Thomas Rahbek Sloth, Ringkøbing-Skjern",Venstre,Midtjylland,1214
"Kirsten Hassing, Fredericia",Konservative,Syddanmark,1212
"Linda Nielsen, Videbæk",Socialdemokratiet,Midtjylland,1197
"Trine Schaltz, København",SF,Østdanmark,1194
"Hari Neupane, Ørestad",Socialdemokratiet,Østdanmark,1187
"Ilka Daniel, Norddjurs",Venstre,Midtjylland,1187
"Tine Hessner, Furesø",Radikale,Østdanmark,1186
"Morten Lorenzen, Assens",Radikale,Syddanmark,1184
"Marianne Quorp Kjærgaard, Aabenraa",Konservative,Syddanmark,1178
"Mikkel Berggreen Schmidt, Varde",SF,Syddanmark,1174
Morten Hell,Moderaterne,Syddanmark,1163
"Amanda Amadea Badu, Lejre",Enhedslisten,Østdanmark,1160
"Johanna-Maria Precht, Sønderborg",Enhedslisten,Syddanmark,1155
"Kent Mosgård, Middelfart",Venstre,Syddanmark,1152
"Hanne Pedersen, Haderslev",SF,Syddanmark,1147
"Lasse Holt, Lyngby-Taarbæk",Liberal Alliance,Østdanmark,1146
"Karina Aamann, Horsens",Venstre,Midtjylland,1145
"Gry Bruun Nielsen, Hjørring",Radikale,Nordjylland,1144
"Lars Christiansen, Maribo",SF,Østdanmark,1137
"Sadek Al-Amood, Valby",SF,Østdanmark,1133
"Frits Danielsen, Dronninglund",Venstre,Nordjylland,1131
"Lene Foged, Stoholm",Liberal Alliance,Midtjylland,1127
"Håkon Nielsen, Rødovre",Socialdemokratiet,Østdanmark,1125
"Marianne Pacarada, Svendborg",Enhedslisten,Syddanmark,1118
"Bruno Jerup, Næstved",Enhedslisten,Østdanmark,1117
"Patrizia Venturelli Christensen, Gentofte",Liberal Alliance,Østdanmark,1117
"Karen Tilma, Brønderslev",Konservative,Nordjylland,1117
"Brian Mørch, Solrød",Danmarksdemokraterne,Østdanmark,1114
Andreas Møller,Moderaterne,Syddanmark,1111
"Mikkel Strube-Weber, Aarhus",Venstre,Midtjylland,1111
"Jesper Mayerhofer, Odense",SF,Syddanmark,1104
"Carli Hækkerup, Ringsted",Enhedslisten,Østdanmark,1103
"Lars Carstensen, Furesø",Konservative,Østdanmark,1099
"Bodil Kornbek, Lyngby-Taarbæk",Socialdemokratiet,Østdanmark,1091
"Nina Røntved Krog, Thisted",Danmarksdemokraterne,Nordjylland,1089
"Marie Tvergaard, Rebild",Venstre,Nordjylland,1086
"Elvin J. Hansen, Odder",Socialdemokratiet,Midtjylland,1080
"Thomas Vedsted, Haderslev",Liberal Alliance,Syddanmark,1080
"Johanne Poulstrup, Aalborg Kommune",Venstre,Nordjylland,1077
"Poul Roesen, Morsø",Konservative,Nordjylland,1073
"Almina Nikontovic, Frederikshavn Kommune",SF,Nordjylland,1072
"Peter Dits Christensen, Solrød",Liberal Alliance,Østdanmark,1071
"Birgit Marie Christensen, Favrskov",Socialdemokratiet,Midtjylland,1069
"Peter Nowack, Herning",SF,Midtjylland,1065
"Marianne Kirkegaard, Syddjurs",Venstre,Midtjylland,1061
"Lasse Rich Henningsen, Aalborg",Venstre,Nordjylland,1059
"Benjamin Christensen, Aalborg",SF,Nordjylland,1039
"Birthe Skovgård, Faaborg-Midtfyn",Venstre,Syddanmark,1033
"Michele Offenbach Holm, Randers",Socialdemokratiet,Midtjylland,1032
"Kasper Vindbjerg, Norddjurs",SF,Midtjylland,1029
"Laurits Kaae, Vejle",SF,Syddanmark,1027
"Signe Vedersø Keldorff, Odense",Dansk Folkeparti,Syddanmark,1027
"Michael Grove, Viborg",Konservative,Midtjylland,1026
"Lene Birket-Smith, Aalborg",Socialdemokratiet,Nordjylland,1016
"Niels Christian Dahl, Allerød",Socialdemokratiet,Østdanmark,1008
