kandidat,parti,stemmer
"Kasper Cederholm, København",Danmarksdemokraterne,301
"Per Fabricius Ramsing, København",Alternativet,294
Rikke Galina Frydensbjerg Carlsson,P,292
"Peter Horsted Hansen, Odsherred",Konservative,289
"Rosa Mørch Jørgensen, København S",R,289
"Morten Stig Pedersen, Holbæk",Enhedslisten,289
Steen Løfstrøm,Dansk Folkeparti,287
"Søren Burcharth, København",Radikale,287
"Gert L. Heglund, Gentofte",Liberal Alliance,281
"Ken Riberholt-Rischel, Gribskov",Danmarksdemokraterne,279
"Kim B. Nielsen, Roskilde",Danmarksdemokraterne,278
"Magnus Dræby, Halsnæs",Radikale,278
"Frank Hedegaard, København",SF,277
Mikkel Hartwich,Dansk Folkeparti,274
"Katrine Schiller, Halsnæs",Danmarksdemokraterne,274
"Marianne Bredgaard Karlsson, Fredensborg",Radikale,273
"Søs Haugaard, København",Radikale,271
"Emin Bülent Kaya, Køge",Moderaterne,268
"Josée Linnemann, Fredensborg",Moderaterne,266
"Michael Monberg, Køge",Alternativet,264
"Jeanette Vedelstjerne, Lyngby-Taarbæk",Moderaterne,263
"Jan H. Klit, København",Konservative,263
"Thomas Anker, København",Alternativet,263
"Thomas von Jessen, Fredensborg",Konservative,260
"Jeppe Lynge Ravn, Odsherred",Enhedslisten,259
"Palle Eghjort, Vordingborg",Enhedslisten,257
"Jan Carlsen, Roskilde",Moderaterne,253
Jan Erik Messmann,Dansk Folkeparti,244
"Susanne Pahlmann, Greve",Enhedslisten,239
Elisabeth Bergsøe,J,238
"Martin Kjærulff, København NV",Alternativet,238
"Martin Grønkjær, Brøndby",Venstre,238
Mette Strange Hagen,L,232
"Arne Olsen, Sorø",Danmarksdemokraterne,229
"Frederik Haugstrup Jacobsen, Østerbro",Socialdemokratiet,226
"Jørgen Suhr, Hillerød",Radikale,223
"Søren Hyldgaard, Rudersdal",Moderaterne,220
"Jette Wied Weiss, Stevns",Danmarksdemokraterne,216
Markus Hvass,U,215
"Nina Skaarup, Måløv",Venstre,213
"Martin Schepelern, København",Radikale,211
"Mathias Schwartz Kirkegaard, Greve",Konservative,205
"Helle Jørgensen, Glostrup",Danmarksdemokraterne,205
"Simon Rigét, Gribskov",Alternativet,205
"Gitte Svendsdatter, Odsherred",Danmarksdemokraterne,204
"Johannes Jacobsen, Køge",Enhedslisten,203
"Liselotte Katarina Rotfeld, Næstved",Alternativet,202
"Rico Djernis, København",Konservative,200
"Morten Hjort, Stege",Enhedslisten,200
"Kurt Pii, Frederiksberg",Moderaterne,188
"Stig Ekman, Bispebjerg",Socialdemokratiet,187
"Lartey Lawson, København",Radikale,182
"Klara Poder, Rødovre",R,181
Nicolai Otto Mønsted Hermansen,L,178
"Pia Skourup, Ishøj",Venstre,172
"Rasmus Abrahamsen, Greve",Moderaterne,169
"Nana L. Buttenschøn, Glostrup",Alternativet,168
Axel Ljungquist,Kristendemokraterne,167
"Alina Protsyk, København",Radikale,167
"Peter Roswall, Stevns",Enhedslisten,164
"Jan Kjærgaard, Faxe",Enhedslisten,163
"Søren Rasmussen, Vangede",Enhedslisten,161
"Åge Skovrind, Roskilde",Enhedslisten,157
"Claus Wachmann, Gladsaxe",Radikale,157
Niels Chresten Andersen,Kristendemokraterne,157
"Janus Balleby Rønbach, Brøndby",Enhedslisten,153
Kristian Tørning,Dansk Folkeparti,152
Lasse Larsen,J,144
Finn Andersen,Kristendemokraterne,142
"Therese Skaarup, Gentofte",Danmarksdemokraterne,141
"René Arnt, Taastrup",Moderaterne,140
Eva Guldfred,Kristendemokraterne,139
"Michael Hemming Nielsen, Gribskov",Enhedslisten,138
Sabine Lind,L,137
"Claus Rasmussen, Albertslund",Venstre,136
Carsten Bardy Aaen,L,136
"Gert Biilmann, Herlev",Venstre,135
Michaell Ravn,J,131
Sine Bilfeldt,P,126
"Birgit Gedionsen, Solrød",Enhedslisten,124
"Claus Carlsen, Roskilde",R,120
"Dan Kiving, Sorø",Enhedslisten,120
"Knud Rasmussen, Solrød",N,118
"Charlotte Saabye Sørensen, København N",Radikale,114
"Kristian Flindt Dyrkjøb, København V",Alternativet,114
"Andreas Raben, København",Moderaterne,108
David Gerschwald,Dansk Folkeparti,108
Henrik Vendelbo Petersen,U,107
"Rune Jørgensen, København Ø",R,94
"Kim Lykkegaard, København N",R,93
"Erik Moesby Nordstrøm, Furesø",Moderaterne,79
"Benny Hansen, Ishøj",N,77
Allan Øster Steensen,Dansk Folkeparti,68
Auli Romanow,Dansk Folkeparti,65
"Arne S. Hansen, Tårnby",Danmarksdemokraterne,65
Imad Daher,L,64
Britta Kristensen,Kristendemokraterne,64
"Ravin Gomei, Roskilde",R,63
Kim W. Bilfeldt,P,62
"Bachir Belmajdoub, København",N,60
"Niklas Svenningsen, Nivå",R,60
Johnnie Gregersen,Kristendemokraterne,59
"Edvard Aas, Furesø",Danmarksdemokraterne,54
Kurt Pedersen,Kristendemokraterne,53
"Katrine Ehlern, København",N,49
"Mariann Hansen, Greve",Alternativet,49
Jesper Morville,J,48
Abaz Sabani,L,46
Lars Emanuel,P,46
"Magnus Mørk, Hårlev",R,30
Mogens Riis Pedersen,Kristendemokraterne,30
Hans Nielsen,P,28
Ditte Sieling Emanuel,L,22
Lise-Lotte Dahlgaard Mortensen,L,21
B. Tscherning,P,20
Don Winther,L,18
"Eva Fotland, København",N,6
