kommune,kommune_dagi_id,frigivelsestidspunkt,opdateringstidspunkt,valgforbund_navn,kandidatliste_id,valgforbund_partier,valgforbund_partibogstav
Kalundborg,389141,2025-10-06 10:51:02,2025-10-06 10:51:02,E og I og N,"['7c0ad65c-9cb7-4276-ac34-668b54937ff8', '93f62836-30ed-4e80-949c-6212e44544da', 'd34f78e5-acf7-4674-b14e-1219d8adc387']","['Frit Borgerligt Fællesskab', 'Nyt Kalundborg', 'Liberal Alliance']","['E', 'N', 'I']"
Furesø,389122,2025-10-06 10:15:29,2025-10-06 10:15:29,VFB3 - CLV,"['2aa53d7e-1793-49e4-b964-e42e29db18af', '54f358b0-e287-4ff8-a95a-1b3792dd3ec5', 'ddc30216-7e49-4a5f-8c02-2457794db3a7']","['Venstre Danmarks Liberale Parti', 'Lokallisten Bedre Borgerinddragelse', 'Det Konservative Folkeparti']","['V', 'L', 'C']"
Furesø,389122,2025-10-06 10:15:29,2025-10-06 10:15:29,VFB1 - BØÅ,"['20ab5df6-d62b-43d1-9e1d-2031d2943519', '4a2a632b-562a-46cb-b435-379d6efa1a93', 'c4e04f8d-ae87-4813-b3ab-b09b6f265856']","['Alternativet', 'Radikale Venstre', 'Enhedslisten - De Rød-Grønne']","['Å', 'B', 'Ø']"
Furesø,389122,2025-10-06 10:15:29,2025-10-06 10:15:29,VFB2 - AF,"['2bd9a5ce-0da6-4f48-b8ca-7e06318fcceb', 'a8e7c79c-7311-42c7-b5d9-770d3e477a49']","['Socialistisk Folkeparti', 'Socialdemokratiet']","['F', 'A']"
Furesø,389122,2025-10-06 10:15:29,2025-10-06 10:15:29,VFB4 - EIMO,"['57716a97-2b6d-4efe-a811-21942549f157', '99f1136f-d2af-4c44-8eca-d6d38e6e1e2f', 'a78ad38a-55bb-4099-84c5-cbdbe3195c9b', 'ec292b10-230c-43a1-969f-f56aa7c143ae']","['Liberal Alliance', 'Dansk Folkeparti', 'Furesørødderne', 'Moderaterne']","['I', 'O', 'E', 'M']"
Svendborg,389162,2025-10-06 10:16:45,2025-10-06 10:16:45,IVÆ,"['01f3431e-b69a-41fa-a25a-80644995c8d8', '068b188a-3c3d-479d-8e72-1ae45168f34e', 'f0a7412b-0cb2-48aa-b818-7efe9c55ec1d']","['Liberal Alliance', 'Danmarksdemokraterne - Inger Støjberg', 'Venstre, Danmarks Liberale Parti']","['I', 'Æ', 'V']"
Svendborg,389162,2025-10-06 10:16:45,2025-10-06 10:16:45,CDO,"['21e169d0-7a0b-4394-b505-d62f88354852', '2a4913f6-4fc5-4b3e-a75f-f7ad87295b07', 'f5705ebf-158a-4e3f-adde-967482cf36db']","['Dansk Folkeparti', 'Nye Borgerlige', 'Det Konservative Folkeparti']","['O', 'D', 'C']"
Svendborg,389162,2025-10-06 10:16:45,2025-10-06 10:16:45,BFØÅ,"['07e6ea84-4d80-4cbb-988f-f20a6d1c342c', '3a685555-cd2d-4976-a5fd-215076933551', 'a5a60a09-6b89-433e-a8d0-70f2eb0e47dc', 'cdf02f95-2274-48c1-b6cc-38007abb62e7']","['Enhedslisten - De Rød-Grønne', 'Alternativet', 'SF - Socialistisk Folkeparti', 'Radikale Venstre']","['Ø', 'Å', 'F', 'B']"
Billund,389172,2025-10-06 11:02:01,2025-10-06 11:02:01,MV,"['2ee00e8b-b4d8-4cfc-9916-4a0095e5b295', '787a2a05-5d28-40bc-bc66-5ca7b3c86436']","['Moderaterne', 'Venstre, Danmarks Liberale Parti']","['M', 'V']"
Billund,389172,2025-10-06 11:02:01,2025-10-06 11:02:01,COÆ,"['197ee9fb-2978-4577-b8a2-15db6e59a285', '2da11105-6315-44f5-933f-3beb5abdfe55', 'ef356269-e61b-446b-893e-e5acff1782e7']","['Det Konservative Folkeparti', 'Danmarksdemokraterne - Inger Støjberg', 'Dansk Folkeparti']","['C', 'Æ', 'O']"
Ringsted,389142,2025-10-06 10:19:00,2025-10-06 10:19:00,VF1,"['3dacbfaf-4374-49f8-a676-4f722d06b8b3', '6065c366-323a-43df-a8c2-3730484e625f', '69954e4d-d18e-44d7-a0d8-ee02c2dfd1b5', '9fdeaf53-81a0-4082-9e60-2ca9cc90dd0e', 'b02e5988-9ede-44eb-9e67-8b62fda78ce4', 'fa2409b1-9b95-45de-a9e3-ff5b5bb602f9', 'ff11303f-ddd6-4e98-a7ed-c60153906efa']","['Nye Borgerlige', 'KristenDemokraterne', 'Liberal Alliance', 'Det Konservative Folkeparti', 'Landsbylisten', 'Danmarksdemokraterne - Inger Støjberg', 'Dansk Folkeparti']","['D', 'K', 'I', 'C', 'L', 'Æ', 'O']"
Ringsted,389142,2025-10-06 10:19:00,2025-10-06 10:19:00,VF2,"['1df86c11-b770-44c2-b438-c8583f0de577', '3f8069d1-6394-40ec-ab38-15ac65356c49', '7e320a26-80f7-4739-9db8-b18f768e0de0', '9e282524-fc48-4468-b4f6-57da62463729']","['Radikale Venstre', 'Socialdemokratiet', 'SF - Socialistisk Folkeparti', 'Enhedslisten']","['B', 'A', 'F', 'Ø']"
Ringsted,389142,2025-10-06 10:19:00,2025-10-06 10:19:00,VF3,"['0c93fd84-8064-4418-8679-e7e4709d9301', '378e40d1-9d93-4564-8c39-17e7b71a6aa6']","['Det Nære Parti', 'Venstre, Danmarks Liberale Parti']","['N', 'V']"
Brønderslev,389199,2025-10-06 10:29:45,2025-10-06 10:29:45,FØ,"['4a41096d-d159-4b56-bff7-a0264c6097f4', '8908a153-6466-43d4-a7ec-5e3181f87dbf']","['Enhedslisten - de Rød-Grønne', 'SF - Socialistisk Folkeparti']","['Ø', 'F']"
Brønderslev,389199,2025-10-06 10:29:45,2025-10-06 10:29:45,DOVÆ,"['1f6e9a40-6602-4566-967f-8a429b8fa6bc', '6a954050-d4f1-41df-868a-873abf019335', 'ad7ce086-1f12-4d36-beb5-77ef2d528550', 'af3b9855-e2b3-4388-85f8-1b934df7eee2']","['Dansk Folkeparti', 'Nye Borgerlige', 'Venstre, Danmarks liberale Parti', 'Danmarksdemokraterne - Inger Støjberg']","['O', 'D', 'V', 'Æ']"
Brønderslev,389199,2025-10-06 10:29:45,2025-10-06 10:29:45,BCJM,"['2cbadde7-31ef-4a35-844a-e0bb33eafd9e', '52bc144e-741e-42cf-b1ac-33451bce86e4', '9ad9798a-8303-468b-99fb-630b62b4e74c', 'aa298b93-997e-44c6-ab29-347dd306bc52']","['Radikale Venstre', 'Det Konservative Folkeparti', 'Borgerlisten', 'Moderaterne']","['B', 'C', 'J', 'M']"
Hedensted,389178,2025-10-06 10:31:46,2025-10-06 10:31:46,G - I - K,"['33278100-dde8-4698-9b63-4bfcc3bb74ba', 'b1a54d27-ffc1-4072-a5f7-6d10049ffa20', 'c31ccb86-38b7-4a46-ad39-dd4e3ddec99f']","['Kristendemokraterne', 'Liberal Alliance', 'Seniorlisten Hedensted Kommune']","['K', 'I', 'G']"
Hedensted,389178,2025-10-06 10:31:46,2025-10-06 10:31:46,J - M - V,"['604c15ee-f1b5-48d4-93c9-a77042aba7ae', 'a9960dd8-721e-46f8-8492-402ca208742d', 'c3773e3d-dd49-459a-9b36-cde9c7cbf8fa']","['Moderaterne', 'SocialKonservative', 'Venstre, Danmarks Liberale Parti']","['M', 'J', 'V']"
Hedensted,389178,2025-10-06 10:31:46,2025-10-06 10:31:46,F - Ø - Å,"['174e60fd-ae8e-47d2-9e54-2d78b5f6d8d2', 'bcb5803d-4c7a-4d2a-b6fb-c99f6f61b81d', 'e8e16c66-342c-4698-ba29-5678e9e8246c']","['Socialistisk Folkeparti', 'Alternativet', 'Enhedslisten - De Rød-Grønne']","['F', 'Å', 'Ø']"
