kandidat,parti,kommune,stemmer
Berit Rousing,Socialdemokratiet,Aarhus Kommune,790
Katrine Wulff,SF,Odense Kommune,790
Henrik Karlsen,Konservative,Viborg Kommune,789
Reza Javid,Enhedslisten,Odense Kommune,789
Kasper Pauli Pedersen,Socialdemokratiet,Ikast-Brande Kommune,788
Bruno Hansen,Venstre,Herning Kommune,783
Birgitte Majgaard,Konservative,Skanderborg Kommune,782
Jan Koborg Olsen,Socialdemokratiet,Horsens Kommune,779
Kasper Solberg,Socialdemokratiet,Nordfyns Kommune,779
Preben Andersen,Dansk Folkeparti,Skive Kommune,777
Lotte Finck,Konservative,Aalborg Kommune,776
Christina Viffert,Danmarksdemokraterne,Aalborg Kommune,776
Thomas Hestbæk,Venstre,Vejle Kommune,775
Søren Jensen,Liberal Alliance,Aarhus Kommune,775
Rie Køppen,SF,Billund Kommune,773
Lars Teglgaard,Venstre,Varde Kommune,772
Jette Leth Buhl,SF,Næstved Kommune,772
Louise Mehnke,Socialdemokratiet,Fredensborg Kommune,771
Ellen Raunsmed,SF,Hjørring Kommune,770
Stine Steffensen,Dansk Folkeparti,Guldborgsund Kommune,767
Ida Pedersen,Socialdemokratiet,Thisted Kommune,765
Jakob Skyggebjerg,Radikale,Københavns Kommune,763
Merete Due Paarup,Radikale,Kolding Kommune,763
Jeanette Sandberg,SF,Assens Kommune,763
Niels Rosenberg,Konservative,Odder Kommune,762
Christina Birkemose,T,Faxe Kommune,762
Charlotte Aaby,Dansk Folkeparti,Silkeborg Kommune,760
Karina Foss,Venstre,Vordingborg Kommune,760
Malena Møller Mortensen,Konservative,Viborg Kommune,757
Nicolai Boelsmand Asmussen,Venstre,Kolding Kommune,757
Randi Mondorf,Venstre,Rudersdal Kommune,756
Jeppe Spure Nielsen,Alternativet,Aarhus Kommune,754
Tage Jørgensen,SF,Vejle Kommune,753
Nicola Emily Larsen,Konservative,Rudersdal Kommune,751
Mia Johansen,SF,Skive Kommune,750
Liselotte Lynge,Danmarksdemokraterne,Vesthimmerlands Kommune,748
Hans Stavnsager,Socialdemokratiet,Faaborg-Midtfyn Kommune,747
Jonas René Jensen,Danmarksdemokraterne,Middelfart Kommune,746
Casper Søe-Larsen,Liberal Alliance,Thisted Kommune,742
