kandidat,parti,kommune,stemmer
Arne Kubert,Radikale,Holstebro Kommune,24
Martin Sørensen,Konservative,Samsø Kommune,24
Katri Søgaard,Konservative,Billund Kommune,24
Mimi Nguyen,Konservative,Høje-Taastrup Kommune,24
Martin Kjeller Petersen,Venstre,Varde Kommune,24
Bent Kyndesen,Alternativet,Vejle Kommune,24
Inger Irene Hansen,Dansk Folkeparti,Kolding Kommune,24
Marius Kristensen,Socialdemokratiet,Herning Kommune,24
Karen Jeppesen,SF,Fanø Kommune,24
Jørgen Seyfarth,Venstre,Fanø Kommune,24
Niels Funch,Venstre,Nordfyns Kommune,24
Niels Kurt Nielsen,N,Aarhus Kommune,24
Brian Skjoldborg Thomsen,J,Kolding Kommune,24
Peter Gertsen,Venstre,Lolland Kommune,24
Michael Bothmann Jensen,SF,Tønder Kommune,24
Henrik Severin Hansen,SF,Egedal Kommune,24
Bodil Helbo,Alternativet,Odense Kommune,24
Annet Soos,Dansk Folkeparti,Gentofte Kommune,24
Thomas Lynge Hindborg,SF,Dragør Kommune,24
Bent Ipsen,Radikale,Faaborg-Midtfyn Kommune,24
Kasper Halling,Radikale,Ballerup Kommune,24
Mads Ejvind Straarup,Enhedslisten,Odense Kommune,24
Peter Fisker Lassen,Konservative,Ringsted Kommune,24
Freddy Skou Larsen,Konservative,Frederikshavn Kommune,24
Anne Inez Jensen,L,Faaborg-Midtfyn Kommune,24
Christian Stenberg,Konservative,Svendborg Kommune,24
Villads Bech Pedersen,Liberal Alliance,Næstved Kommune,23
Emiline Christensen,L,Rudersdal Kommune,23
Matilde Lissau,Radikale,Bornholms Regionskommune,23
Ann Marquardsen,Radikale,Dragør Kommune,23
Steen-Ove Teisner,Venstre,Assens Kommune,23
Karl Heinz Tønder,Kristendemokraterne,Haderslev Kommune,23
Simon Dedenroth Sveigaard,Y,Faxe Kommune,23
Rita Underbjerg,Enhedslisten,Esbjerg Kommune,23
Henrik Bjørkman,Venstre,Hørsholm Kommune,23
Simon Bech Munch-Petersen,Radikale,Aalborg Kommune,23
Peter Kvist Jørgensen,Enhedslisten,Guldborgsund Kommune,23
René Lind Mathiesen,Enhedslisten,Silkeborg Kommune,23
Mikael Jensen,Dansk Folkeparti,Struer Kommune,23
René Arnt,Moderaterne,Høje-Taastrup Kommune,23
Brian O'Brien Grønvold,R,Københavns Kommune,23
Ole Jensen,T,Ærø Kommune,23
Tina Hougaard Møller,P,Aarhus Kommune,23
Ann Spetzler,Danmarksdemokraterne,Glostrup Kommune,23
Steen Nør Pilgaard,Konservative,Morsø Kommune,23
John Fobian-Madsen,Socialdemokratiet,Ringsted Kommune,23
Lars Søndertoft Nielsen,Liberal Alliance,Holstebro Kommune,23
Per Lindved,Konservative,Lemvig Kommune,23
Shemon Chowdhury,Enhedslisten,Aalborg Kommune,23
Henrik Steen Kademann,Liberal Alliance,Albertslund Kommune,23
Flemming Lystrup,Dansk Folkeparti,Vallensbæk Kommune,23
Bjarne Vium Mikkelsen,Kristendemokraterne,Kolding Kommune,23
Hanne Gram,Liberal Alliance,Favrskov Kommune,23
Susanne Joel,Liberal Alliance,Viborg Kommune,23
Sebastian W Blawat,Konservative,Ærø Kommune,23
Lola Broe,Enhedslisten,Solrød Kommune,23
Jesper Thorsson,Radikale,Nordfyns Kommune,23
Brian René Pedersen,Konservative,Albertslund Kommune,23
Preben Lind,D,Haderslev Kommune,23
Erik Moesby Nordstrøm,Moderaterne,Furesø Kommune,23
Peter Flindt-Hansen,Dansk Folkeparti,Gladsaxe Kommune,23
S. Kragh,Liberal Alliance,Sorø Kommune,23
Judithe Nielsen,Socialdemokratiet,Albertslund Kommune,23
Anne Guldborg Pedersen,Alternativet,Aalborg Kommune,23
Mike Kristensen,Liberal Alliance,Sorø Kommune,23
Ulla Hansen,Venstre,Hillerød Kommune,23
Kenneth Merkel,Liberal Alliance,Kalundborg Kommune,23
Lotte Aabye,T,Dragør Kommune,23
John S. Lambertsen,T,Jammerbugt Kommune,23
Thomas Hørby,Venstre,Albertslund Kommune,23
Merete Jensen,L,Esbjerg Kommune,23
Maria Rasmussen,Alternativet,Syddjurs Kommune,23
Marc Dreier,Liberal Alliance,Kolding Kommune,23
Lindhardt Højen,L,Jammerbugt Kommune,23
Simone Pi Wagner Christensen,Dansk Folkeparti,Københavns Kommune,23
Lars Bo Jensen,Liberal Alliance,Kerteminde Kommune,23
Per Fynboe,Enhedslisten,Gentofte Kommune,23
Benjamin Fick,Moderaterne,Rødovre Kommune,23
Torben Thillemann Jakobsen,Venstre,Svendborg Kommune,23
Niels Elmo Jensen,Venstre,Lyngby-Taarbæk Kommune,23
Kenneth Finsen,Konservative,Rødovre Kommune,22
Ruth Nielsen,Slesvigsk Parti,Sønderborg Kommune,22
Chris Harfeld,Konservative,Næstved Kommune,22
Emil Carlberg,Konservative,Fredensborg Kommune,22
Oksana Gjermstad,Venstre,Københavns Kommune,22
Flemming V. Knudsen,D,Nordfyns Kommune,22
Christian Nielsen,Socialdemokratiet,Faxe Kommune,22
Thomas Thuun Møller,N,Aarhus Kommune,22
Flemming Skærbæk,Socialdemokratiet,Ringsted Kommune,22
Majbrit Bjerke,Socialdemokratiet,Stevns Kommune,22
Dorte Sams,Konservative,Kerteminde Kommune,22
Zaklina Delalic,Socialdemokratiet,Glostrup Kommune,22
Pylle Quaade,Radikale,Kalundborg Kommune,22
Thomas D. Sølvsten,SF,Skive Kommune,22
Peter Joensen,Konservative,Kalundborg Kommune,22
Per Alstrup,SF,Rebild Kommune,22
Peder Krogsgaard,Venstre,Stevns Kommune,22
Veronica Mbilizi,Konservative,Frederikshavn Kommune,22
Poul-Henrik Jensen,Enhedslisten,Esbjerg Kommune,22
Rasmus Toftholm,Socialdemokratiet,Københavns Kommune,22
Magnus Kronborg,SF,Aalborg Kommune,22
Else Stokholm,SF,Skive Kommune,22
Jan Månsson,Socialdemokratiet,Sorø Kommune,22
Ole Svenningsen,Radikale,Skive Kommune,22
Ole Nørretranders,Liberal Alliance,Gribskov Kommune,22
Mathilde  Mathiasen,Frie Grønne,Middelfart Kommune,22
Ebbe Rand Jørgensen,Enhedslisten,Albertslund Kommune,22
Casper Hannibal Aistrup,Konservative,Gribskov Kommune,22
Ea Ascanius,Liberal Alliance,Holbæk Kommune,22
Kim Hyldig Andersen,Dansk Folkeparti,Morsø Kommune,22
Anders Ingemann Larsen,Radikale,Furesø Kommune,22
Emery Karatasi,Socialdemokratiet,Københavns Kommune,22
Frank Green Strathe,Danmarksdemokraterne,Dragør Kommune,22
Andreas Stensig Jensen,Konservative,Ringsted Kommune,22
Niels Bertelsen,Socialdemokratiet,Bornholms Regionskommune,22
Lars A. Clark,Socialdemokratiet,Albertslund Kommune,22
Dennis Soleymani,Moderaterne,Odense Kommune,22
Mikkel Lau Petersen,Liberal Alliance,Rødovre Kommune,22
Asbjørn Nordklitgaard,SF,Aalborg Kommune,22
Knud Hauge,Kristendemokraterne,Vejle Kommune,22
Mary Viller,Moderaterne,Stevns Kommune,22
Karen Kruse,Venstre,Svendborg Kommune,22
Lisbeth Uhd,Enhedslisten,Aarhus Kommune,22
Michael Rachlin,L,Dragør Kommune,22
Anne Udsholt,SF,Rudersdal Kommune,22
Nicolai Pedersen,Liberal Alliance,Sorø Kommune,22
Michaell Ravn,N,Københavns Kommune,22
Keld Nyholm,Dansk Folkeparti,Odder Kommune,22
Ivan Damsted,Socialdemokratiet,Assens Kommune,22
Kirsten Hofset,Enhedslisten,Assens Kommune,22
Daniel Buttenschøn,Socialdemokratiet,Syddjurs Kommune,22
Gert Hansen,T,Guldborgsund Kommune,22
Torben Petersen,SF,Rødovre Kommune,22
Helle Wallin,Enhedslisten,Faxe Kommune,22
Kim Sørensen,Alternativet,Syddjurs Kommune,22
Lars Erdmann,E,Guldborgsund Kommune,22
Søs Krog,Dansk Folkeparti,Lyngby-Taarbæk Kommune,22
Jens Ravn,Socialdemokratiet,Vordingborg Kommune,22
Maria Ingemann Jensen,SF,Tønder Kommune,22
Maria Reneé Schwartz,Liberal Alliance,Egedal Kommune,22
Lars Glade,Liberal Alliance,Rødovre Kommune,22
Gustav Sieg Sørensen,Radikale,Skive Kommune,22
Gitte Slejborg,L,Ærø Kommune,22
Joachim Hjerl,Radikale,Odsherred Kommune,22
Kirsti Puukka-Sørensen,SF,Brøndby Kommune,22
Carsten Strandborg,Danmarksdemokraterne,Syddjurs Kommune,22
Andreas Kjeldsen,Danmarksdemokraterne,Viborg Kommune,22
Dan Pedersen,Konservative,Københavns Kommune,21
Carsten Abildtrup Ranum,Liberal Alliance,Københavns Kommune,21
Vivian Munch Petersen,Venstre,Bornholms Regionskommune,21
Annika Noëlle Brandt Madolid Knudsen,Moderaterne,Tårnby Kommune,21
Steffen Schlægelberger,Konservative,Glostrup Kommune,21
Anne Melillo,SF,Sorø Kommune,21
Tina Lund,Dansk Folkeparti,Lyngby-Taarbæk Kommune,21
Amanda Egerod Lund,Konservative,Allerød Kommune,21
Parvaneh Abdoulmaleki,Venstre,Odder Kommune,21
Jens Jørn Porup,Konservative,Lemvig Kommune,21
Hans-Henrik Høg,Enhedslisten,Høje-Taastrup Kommune,21
Bitten Kvist Jakobsen,Konservative,Struer Kommune,21
Anton Brandt Linnet,Enhedslisten,Brønderslev Kommune,21
Jørn Thorhauge,Konservative,Holbæk Kommune,21
Falle Hjorth,Enhedslisten,Vordingborg Kommune,21
Siobhán Kelleher-Petersen,Frie Grønne,Bornholms Regionskommune,21
Elias Haack,R,Københavns Kommune,21
Michael Brostrøm,D,Ishøj Kommune,21
Morten Levinsky Thorsboe,SF,Glostrup Kommune,21
Allan Mørup,Venstre,Herning Kommune,21
Henning Kjærgaard,Konservative,Fanø Kommune,21
Henrik Pangel,Dansk Folkeparti,Høje-Taastrup Kommune,21
Henrik Nielsen,Venstre,Faxe Kommune,21
Bjarne Nissen,Venstre,Ærø Kommune,21
Kim Slott,E,Odense Kommune,21
Sven Christophersen,Konservative,Furesø Kommune,21
Olav Bach,Alternativet,Vejle Kommune,21
Mariane Synøve Smed,SF,Stevns Kommune,21
Jens Laursen-Schmidt,Konservative,Struer Kommune,21
Sara Jørgensen,N,Ringsted Kommune,21
Marianne Bro,L,Skive Kommune,21
Sarah Sørensen,Venstre,Odense Kommune,21
Torben Lund,Danmarksdemokraterne,Jammerbugt Kommune,21
Nicolas Nielsen,N,Odsherred Kommune,21
Steffen Boye Uhrenholdt,Liberal Alliance,Langeland Kommune,21
Flemming Molin,Danmarksdemokraterne,Greve Kommune,21
Dorthe Gyldenkærne,Radikale,Stevns Kommune,21
Marianne Poulsen,Konservative,Odsherred Kommune,21
Asbjørn Rasmussen,Dansk Folkeparti,Tårnby Kommune,21
Ole Juul Lajgaard,Enhedslisten,Morsø Kommune,21
Sune Rastad Bahn,Enhedslisten,Gladsaxe Kommune,21
Henrik Buus Jensen,Venstre,Rebild Kommune,21
Kim Neve,Socialdemokratiet,Rødovre Kommune,21
John Hvass,Konservative,Holbæk Kommune,21
Jeannette  Lund-Hansen,D,Lolland Kommune,21
John Slater,Socialdemokratiet,Ballerup Kommune,21
Necdet Gökce,Enhedslisten,Albertslund Kommune,21
René Jensen,Liberal Alliance,Varde Kommune,21
Jørn Rasmussen,L,Vordingborg Kommune,21
Lars Skov Andersen,Konservative,Vordingborg Kommune,21
Johan Alsøe,Venstre,Københavns Kommune,21
Lorena Otto Pedersen,Slesvigsk Parti,Tønder Kommune,21
Miklas Hansen Ladegaard,Socialdemokratiet,Ballerup Kommune,21
Steffen Røgind,Danmarksdemokraterne,Solrød Kommune,21
Jesper Friis Gammelmark,Konservative,Struer Kommune,21
Inger Mejdal Brødsgaard,T,Thisted Kommune,21
Joe Michael Andreasen,Venstre,Brøndby Kommune,21
Erik Nielsen,Venstre,Fredericia Kommune,21
Erling Mortensen,D,Lolland Kommune,21
Jesper H. Gottlieb,Moderaterne,Halsnæs Kommune,21
Peter Fugl Jakobsen,Konservative,Næstved Kommune,21
Annette Thorsen,Dansk Folkeparti,Glostrup Kommune,21
Poul Svane Madsen,Dansk Folkeparti,Nordfyns Kommune,21
Kasper-Peder Von Bach,Moderaterne,Odense Kommune,21
Ken Julius,Konservative,Sønderborg Kommune,21
Bjarne Kjær-Jensen,Dansk Folkeparti,Jammerbugt Kommune,21
Peter Johansen,Moderaterne,Rudersdal Kommune,21
Kenneth Kästner Jensen,Venstre,Kolding Kommune,21
Kasper Meng Date,SF,Lolland Kommune,21
Ulrikka Brændgaard Nissen,Venstre,Assens Kommune,21
Per Flemming Larsen,SF,Odsherred Kommune,21
Thomas Bach Jacobsen,Socialdemokratiet,Rebild Kommune,21
Peter Nilsson,SF,Halsnæs Kommune,21
Annette Nielsen,Enhedslisten,Greve Kommune,21
Hanne Juel,Alternativet,Furesø Kommune,21
Jørgen Oldenburg,Venstre,Bornholms Regionskommune,20
Tim Eskesen,Konservative,Vejle Kommune,20
Thor Kryhlmand,Venstre,Aalborg Kommune,20
Kristian Jensen,L,Hjørring Kommune,20
Johnny Kristensen,N,Odsherred Kommune,20
Sofia Sørensen,Socialdemokratiet,Glostrup Kommune,20
Mette Vennerstrøm,SF,Glostrup Kommune,20
Eva Terndrup,Dansk Folkeparti,Langeland Kommune,20
Eskild Olsen,Konservative,Stevns Kommune,20
Kim Alkestrup,Konservative,Odsherred Kommune,20
Anna Maria Hoornenborg,Radikale,Lemvig Kommune,20
Malte Valentin Rieva,Venstre,Hillerød Kommune,20
Iben Rude,Konservative,Rødovre Kommune,20
Steen Andersen,Enhedslisten,Brøndby Kommune,20
Frida Alexandra Søgård,Konservative,Hørsholm Kommune,20
Flemming H. Sørensen,Dansk Folkeparti,Vesthimmerlands Kommune,20
Vibeke Højbjerg,Socialdemokratiet,Allerød Kommune,20
Peter Steiness,Moderaterne,Næstved Kommune,20
Niels Grønbæk,Enhedslisten,Gribskov Kommune,20
Tina Haldan Gotthardsen,Konservative,Fanø Kommune,20
Jutta Hørlyck,T,Dragør Kommune,20
Benedikte Sofie Werk,Venstre,Odder Kommune,20
Villy Thomsen,Socialdemokratiet,Jammerbugt Kommune,20
Gustav Schmidt Hansen,Venstre,Kolding Kommune,20
Eigil Storm,Konservative,Næstved Kommune,20
Merete Langeland,Radikale,Rebild Kommune,20
Peter Molnit,Venstre,Greve Kommune,20
Steen Hansen,SF,Middelfart Kommune,20
Karsten Clemmensen,Konservative,Struer Kommune,20
Mette Grønvaldt,Radikale,Hillerød Kommune,20
Søren Brunsholt Andersen,Enhedslisten,Aalborg Kommune,20
Bente Ågren Jensen,Kristendemokraterne,Jammerbugt Kommune,20
John Løvenskjold Nielsen,Socialdemokratiet,Solrød Kommune,20
Bjarke Bach Olesen,Enhedslisten,Viborg Kommune,20
Benny Hansen,D,Ishøj Kommune,20
Hans Laugesen,Radikale,Hørsholm Kommune,20
Michael Macdonald Arnskov,Radikale,Gentofte Kommune,20
Daniel Holm Hansen,Venstre,Glostrup Kommune,20
Nels Hede Rohde,Liberal Alliance,Holbæk Kommune,20
Erik Rosenkrantz Fuglsang,Venstre,Hørsholm Kommune,20
Michael Nørregaard,Venstre,Allerød Kommune,20
Lotte Rojen Hansen,Danmarksdemokraterne,Solrød Kommune,20
Betina Andersen,Moderaterne,Sorø Kommune,20
Mads Møller Andersen,Radikale,Hørsholm Kommune,20
Madeleine Scanlon,Liberal Alliance,Fredensborg Kommune,20
Elisabeth Simonsen,Socialdemokratiet,Tønder Kommune,20
Jørgen Lund,D,Nordfyns Kommune,20
Maria Tørnsø Østergaard,Venstre,Allerød Kommune,20
Arne Simon Hansen,Danmarksdemokraterne,Tårnby Kommune,20
Ole Keinicke Christensen,Konservative,Ringsted Kommune,20
Lars Bennike,Konservative,Glostrup Kommune,20
Sanne Lessèl-Wigh,Konservative,Sorø Kommune,20
Leif Winther,L,Skive Kommune,20
Niels Thomsen,Dansk Folkeparti,Rebild Kommune,20
Bjarke Hee Thomassen,Enhedslisten,Aalborg Kommune,19
Villy Blichfeldt Sørensen,Dansk Folkeparti,Jammerbugt Kommune,19
Susanne Bartholdy,Moderaterne,Rudersdal Kommune,19
Signe Bergmann,SF,Rødovre Kommune,19
Nina Schrøder,E,Vordingborg Kommune,19
Chirie Laulund-Pedersen,Socialdemokratiet,Langeland Kommune,19
Alex Mortensen,L,Vordingborg Kommune,19
Marianne Olsen,Radikale,Næstved Kommune,19
Lis Smidsholm,Radikale,Gladsaxe Kommune,19
Dennis Greve Keudel,SF,Haderslev Kommune,19
Dorthe Wichmand Müller,SF,Gladsaxe Kommune,19
Kenneth J. Grinderslev,Konservative,Skive Kommune,19
Ida Ottesen,L,Albertslund Kommune,19
Anja Cedervang,D,Ishøj Kommune,19
Annitta Andersen,Liberal Alliance,Brøndby Kommune,19
Niels Egede Olsen,Venstre,Ballerup Kommune,19
Svend Madsen,Konservative,Fanø Kommune,19
Torben Martinsen,Venstre,Glostrup Kommune,19
Torben Bloch,Venstre,Silkeborg Kommune,19
Niels Kristian Pilgaard Jensen,Radikale,Jammerbugt Kommune,19
Majbrit P. Rothmann,Kristendemokraterne,Aalborg Kommune,19
Carsten Hougaard,Liberal Alliance,Thisted Kommune,19
Hanne Kaae,T,Hørsholm Kommune,19
Anja Kirstine Detlefsen Hansen,Radikale,Faaborg-Midtfyn Kommune,19
Kirstina Tranberg,Enhedslisten,Glostrup Kommune,19
Jesper Gehrke,Enhedslisten,Vallensbæk Kommune,19
Jens Morten Hansen,Venstre,Læsø Kommune,19
Troels Nyborg Jensen,Liberal Alliance,Struer Kommune,19
Jess Jessen-Klixbüll,L,Læsø Kommune,19
Karin Egeberg,Konservative,Ringsted Kommune,19
Rune Jordan,Venstre,Sorø Kommune,19
Karin Andersen,Venstre,Helsingør Kommune,19
Mette Kathrine Millard,Konservative,Ringsted Kommune,19
Jeppe Mariager,Enhedslisten,Svendborg Kommune,19
Adam Audeh,G,Gribskov Kommune,19
Karen Trine Cedervang,D,Ishøj Kommune,19
Kim Philip Brammer Welcher,Socialdemokratiet,Langeland Kommune,19
Annie Hassenkam,Venstre,Brøndby Kommune,19
Adrian-Silviu Suiugan,U,Struer Kommune,19
Palle Olsen,Konservative,Vordingborg Kommune,19
Bjarne Andersen,Socialdemokratiet,Viborg Kommune,19
Simon Boje Groth,Moderaterne,Københavns Kommune,19
Brian Talarek,Konservative,Glostrup Kommune,19
Tomas Jacoby,T,Helsingør Kommune,19
Anja Ritz-Andersen,Radikale,Gladsaxe Kommune,19
Nikolai Ellegaard Sørensen,Konservative,Københavns Kommune,19
Jens Fjeldal,Venstre,Læsø Kommune,19
Gitte Boffy Lillelund,SF,Ballerup Kommune,19
Rainer Naujeck,Slesvigsk Parti,Sønderborg Kommune,19
Kim Christensen,Socialdemokratiet,Københavns Kommune,19
Inger Sandahl,Enhedslisten,Thisted Kommune,19
Lars Breum,Socialdemokratiet,Syddjurs Kommune,19
Bent Elling,Socialdemokratiet,Helsingør Kommune,19
Bente Ovesen,SF,Faxe Kommune,19
Helle Schütt Larsen,Kristendemokraterne,Rødovre Kommune,19
Christian Nielsen,R,Københavns Kommune,19
Birgitte Langballe,SF,Københavns Kommune,19
Carsten Lüth,Konservative,Dragør Kommune,19
Karsten Sevel,Konservative,Vordingborg Kommune,19
Rasmus Dons,Radikale,Assens Kommune,19
Julie Castmar,Enhedslisten,Bornholms Regionskommune,19
Stig Jørgensen,Z,Københavns Kommune,19
Rasmus Hald,Konservative,Fredericia Kommune,19
Steven de Oliveira Schumann,Socialdemokratiet,Glostrup Kommune,18
Florina Elena Temes,Socialdemokratiet,Morsø Kommune,18
Anne-Dorrit Harris,Alternativet,Aalborg Kommune,18
Anita Vivian Alexandru,J,Syddjurs Kommune,18
Poul Bonderup,Venstre,Høje-Taastrup Kommune,18
Tasia Veidiksen,T,Tårnby Kommune,18
Carsten Svanberg,Konservative,Sønderborg Kommune,18
Dorthe Angelika Dyhrberg,Dansk Folkeparti,Kolding Kommune,18
Ruth Birkelund,Konservative,Greve Kommune,18
Lotte Kristine Højgaard de Blanck,Liberal Alliance,Ringsted Kommune,18
Michael O. Jørgensen,Socialdemokratiet,Tårnby Kommune,18
Niels Tjustrup,Enhedslisten,Odder Kommune,18
Anne Holtet,L,Gladsaxe Kommune,18
Hans Jørgensen,Venstre,Syddjurs Kommune,18
Erling Andersen,Socialdemokratiet,Ballerup Kommune,18
Nikolaj Brink Olsen,Liberal Alliance,Solrød Kommune,18
Imee Tappa Henriksen,Venstre,Sønderborg Kommune,18
Jonas Ipsen,Danmarksdemokraterne,Bornholms Regionskommune,18
Matthias Laulund,Venstre,Struer Kommune,18
Hans Erik Grønhøj,Danmarksdemokraterne,Gribskov Kommune,18
Simon Lavdal,Kristendemokraterne,Odense Kommune,18
Jakob Møller-Pedersen,Liberal Alliance,Ringsted Kommune,18
Karl Villemoes,E,Københavns Kommune,18
Rasmus Byg,SF,Ærø Kommune,18
P. Michael Øllgaard,Konservative,Egedal Kommune,18
Daniel Lundberg Svendsen,Radikale,Hjørring Kommune,18
Martin Pihl Sode,Kristendemokraterne,Bornholms Regionskommune,18
Karsten Wiborg,L,Odense Kommune,18
David Ingvorsen,Konservative,Næstved Kommune,18
Heidi C. V. Mørch,Enhedslisten,Assens Kommune,18
Anders Kristian Lyng,Kristendemokraterne,Mariagerfjord Kommune,18
Henrik Damborg Sørensen,Danmarksdemokraterne,Nordfyns Kommune,18
Christoffer Henriksen,Frie Grønne,Hørsholm Kommune,18
Henrik Ægidius,SF,Vordingborg Kommune,18
Oscar Fink,Enhedslisten,Esbjerg Kommune,18
Oscar Ferraro,Liberal Alliance,Københavns Kommune,18
Mitra Walther,Venstre,Furesø Kommune,18
Orla Kjærgaard,Dansk Folkeparti,Hjørring Kommune,18
Ulla Elsted Jensen,Enhedslisten,Albertslund Kommune,18
Hanne Skou Poulsen,Socialdemokratiet,Vallensbæk Kommune,18
Thomas Lind,Liberal Alliance,Halsnæs Kommune,18
Ulrik Iversen,Venstre,Rudersdal Kommune,18
Lisa Walther Holm,Liberal Alliance,Hørsholm Kommune,18
Ole Vels Poulsen,Socialdemokratiet,Kerteminde Kommune,18
Carsten Schultz-Nielsen,Socialdemokratiet,Varde Kommune,18
Stefan Marcussen,Venstre,Tønder Kommune,18
Nicki Brunk Lund,Liberal Alliance,Glostrup Kommune,18
Svend Andersen,Danmarksdemokraterne,Vordingborg Kommune,18
Maja Spang-Hanssen,Enhedslisten,Assens Kommune,18
Finn Hoschtalek,Enhedslisten,Haderslev Kommune,18
Allan Friis,SF,Lolland Kommune,18
Rasmus Hartung,T,Dragør Kommune,18
Mona Pedersen,SF,Faxe Kommune,18
Henrik Søborg,N,Odsherred Kommune,18
Mette Præstegaard,L,Hjørring Kommune,18
Axel Mølgård Andersen,Venstre,Stevns Kommune,18
Christian Warming Nielsen Hansen,Slesvigsk Parti,Sønderborg Kommune,18
Steen Pedersen,L,Gribskov Kommune,18
Michael Leuenhagen,Venstre,Esbjerg Kommune,18
Arno Knöpfli,Slesvigsk Parti,Sønderborg Kommune,18
Kris Rønne,R,Københavns Kommune,17
Katie Henshaw,SF,Aalborg Kommune,17
Ib Lunde,L,Hørsholm Kommune,17
Mathias Gotthardsen,SF,Haderslev Kommune,17
Marie Hansen,SF,Furesø Kommune,17
Rasmus Egeskov,N,Odsherred Kommune,17
Erik Boldsen,Enhedslisten,Furesø Kommune,17
Stefan Warburg,Y,Helsingør Kommune,17
Jette Tibert,Venstre,Herning Kommune,17
Tage Sørensen,Kristendemokraterne,Vejle Kommune,17
Rasmus Villefrance,Radikale,Gladsaxe Kommune,17
Frank Kruse Jacobsen,SF,Skive Kommune,17
Benjamin Friis,SF,Københavns Kommune,17
Peder Toftgård,Venstre,Rødovre Kommune,17
Jan-Erik Olsen,Danmarksdemokraterne,Københavns Kommune,17
Patrick Iversen Larsen,E,Gribskov Kommune,17
Liselotte Bentien Levisen,E,Ballerup Kommune,17
Henning Schøneberg Kastbjerg,Konservative,Københavns Kommune,17
Daphne Simonsen,Enhedslisten,Norddjurs Kommune,17
Michael René Nielsen,Konservative,Guldborgsund Kommune,17
Nick Larsen,Dansk Folkeparti,Lemvig Kommune,17
Elin Bjerregaard,SF,Morsø Kommune,17
Jan  Svitzer,D,Lolland Kommune,17
Søren Smedegaard,Venstre,Struer Kommune,17
Hans Jakob Kirk,Enhedslisten,Kerteminde Kommune,17
Mogens Mathiesen,SF,Glostrup Kommune,17
Henning Hartmeyer,Enhedslisten,Fredericia Kommune,17
Lasse Oszadlik,Moderaterne,Bornholms Regionskommune,17
Emil Buchholtz,T,Guldborgsund Kommune,17
Søren Maarslet,Konservative,Syddjurs Kommune,17
Marianne Domdal Østenkjær,E,Ærø Kommune,17
Kate Jensen,Radikale,Odsherred Kommune,17
Inge Jepsen,Venstre,Tønder Kommune,17
Emmanuel Fjordbak Lykke Ravn,Socialdemokratiet,Struer Kommune,17
Marianne Skytt,N,Aarhus Kommune,17
Kenneth Erichsen,Moderaterne,Sorø Kommune,17
Camilla Schæbel,T,Middelfart Kommune,17
Henrik Storm Tegtmeier,Enhedslisten,Assens Kommune,17
Kai Holm,Socialdemokratiet,Kerteminde Kommune,17
Allan Mose Jakobsen,Socialdemokratiet,Lemvig Kommune,17
Kira Kruse Willmarst,Konservative,Albertslund Kommune,17
Charlotte Aabye,Danmarksdemokraterne,Ærø Kommune,17
Klaus Kruckow,T,Guldborgsund Kommune,17
Mogens Møller,SF,Stevns Kommune,17
Per Kovl,Dansk Folkeparti,Lolland Kommune,17
Tom Jul Jensen,SF,Brøndby Kommune,17
Pia Hvid,Venstre,Sorø Kommune,17
Peter Stenberg,L,Ishøj Kommune,17
Kurt Wriedt,Konservative,Tårnby Kommune,17
Lise Jørgensen,Konservative,Jammerbugt Kommune,17
Kitt Juhl,Dansk Folkeparti,Stevns Kommune,17
Ole Primdahl,SF,Holstebro Kommune,17
Per Schmidt Jensen,T,Solrød Kommune,17
Jette Sauer,SF,Albertslund Kommune,17
Christina Hammergaard,Z,Guldborgsund Kommune,17
Flemming Sorth,Konservative,Bornholms Regionskommune,17
Irene Madsen Lund,Dansk Folkeparti,Varde Kommune,17
Nina Thamsen,Enhedslisten,Brøndby Kommune,17
Harald Pedersen,Socialdemokratiet,Guldborgsund Kommune,17
Jeanet Nordam Suadicani,Radikale,Ringsted Kommune,17
Nis Christian Vilain Raun,Konservative,Haderslev Kommune,17
Linda Vestergaard Møller,Liberal Alliance,Solrød Kommune,17
Lars Bremer,Enhedslisten,Albertslund Kommune,17
Thomas Damgaard,Venstre,Vordingborg Kommune,17
Per Kildevang,Liberal Alliance,Brøndby Kommune,17
Mette Skovgaard,Venstre,Allerød Kommune,16
Lisbeth Emsholm,Socialdemokratiet,Langeland Kommune,16
Christian Sejlund,Konservative,Brønderslev Kommune,16
Peter Borresen,Venstre,Rudersdal Kommune,16
Stina Østerby Thøgersen,SF,Fanø Kommune,16
Emil Seidelin,Venstre,Tønder Kommune,16
Niels Jarnø Johansen,Venstre,Rudersdal Kommune,16
Bjarke Friborg,Enhedslisten,Sorø Kommune,16
Martin Holm Kodahl,Liberal Alliance,Kolding Kommune,16
Søren Vestergaard,Konservative,Struer Kommune,16
Henrik Jeppesen,Dansk Folkeparti,Haderslev Kommune,16
Dan Ullerup,SF,Vejle Kommune,16
Anette Thaulow,U,Københavns Kommune,16
Pernille Kahr,SF,Glostrup Kommune,16
Jørgen Clausen,L,Egedal Kommune,16
Karen Tobisch,SF,Albertslund Kommune,16
Chano Chrillesen,Konservative,Dragør Kommune,16
Anna Frifelt,Venstre,Furesø Kommune,16
Sine Bilfeldt,P,Københavns Kommune,16
Philip Laursen,SF,Thisted Kommune,16
Bo Johansen,T,Hørsholm Kommune,16
Juliette Forneris,Radikale,Glostrup Kommune,16
